filename,mean_shape_score
VesselDetection_0070.nii.gz,0.583
VesselDetection_0013.nii.gz,0.508
VesselDetection_0062.nii.gz,0.651
VesselDetection_0101.nii.gz,0.611
VesselDetection_0001.nii.gz,0.979
VesselDetection_0029.nii.gz,0.607
VesselDetection_0054.nii.gz,1
VesselDetection_0037.nii.gz,0.73
VesselDetection_0046.nii.gz,1
VesselDetection_0025.nii.gz,0.852
VesselDetection_0058.nii.gz,0.528
VesselDetection_0091.nii.gz,0.668
VesselDetection_0083.nii.gz,0.706
VesselDetection_0081.nii.gz,0.73
VesselDetection_0093.nii.gz,0.852
VesselDetection_0103.nii.gz,0.439
VesselDetection_0003.nii.gz,0.791
VesselDetection_0060.nii.gz,0.777
VesselDetection_0011.nii.gz,0.408
VesselDetection_0072.nii.gz,0.791
VesselDetection_0027.nii.gz,0.6
VesselDetection_0039.nii.gz,0.706
VesselDetection_0044.nii.gz,0.791
VesselDetection_0035.nii.gz,1
VesselDetection_0048.nii.gz,0.791
VesselDetection_0056.nii.gz,0.601
VesselDetection_0097.nii.gz,0.86
VesselDetection_0089.nii.gz,0.816
VesselDetection_0085.nii.gz,0.791
VesselDetection_0031.nii.gz,0.791
VesselDetection_0052.nii.gz,1
VesselDetection_0023.nii.gz,0.706
VesselDetection_0040.nii.gz,0.706
VesselDetection_0068.nii.gz,0.867
VesselDetection_0015.nii.gz,0.78
VesselDetection_0076.nii.gz,0.482
VesselDetection_0007.nii.gz,0.879
VesselDetection_0064.nii.gz,0.639
VesselDetection_0019.nii.gz,0.701
VesselDetection_0042.nii.gz,0.926
VesselDetection_0021.nii.gz,0.78
VesselDetection_0050.nii.gz,0.612
VesselDetection_0033.nii.gz,1
VesselDetection_0066.nii.gz,0.791
VesselDetection_0078.nii.gz,0.419
VesselDetection_0105.nii.gz,0.68
VesselDetection_0005.nii.gz,1
VesselDetection_0074.nii.gz,0.706
VesselDetection_0009.nii.gz,0.879
VesselDetection_0017.nii.gz,0.799
VesselDetection_0099.nii.gz,0.764
VesselDetection_0087.nii.gz,0.785
VesselDetection_0095.nii.gz,0.764
VesselDetection_0090.nii.gz,0.816
VesselDetection_0082.nii.gz,0.73
VesselDetection_0036.nii.gz,0.719
VesselDetection_0055.nii.gz,0.775
VesselDetection_0028.nii.gz,0.486
VesselDetection_0059.nii.gz,0.618
VesselDetection_0024.nii.gz,1
VesselDetection_0047.nii.gz,0.791
VesselDetection_0012.nii.gz,0.474
VesselDetection_0071.nii.gz,0.706
VesselDetection_0100.nii.gz,1
VesselDetection_0063.nii.gz,0.893
VesselDetection_0045.nii.gz,1
VesselDetection_0038.nii.gz,0.706
VesselDetection_0026.nii.gz,0.514
VesselDetection_0057.nii.gz,0.558
VesselDetection_0049.nii.gz,0.612
VesselDetection_0034.nii.gz,0.872
VesselDetection_0061.nii.gz,0.785
VesselDetection_0002.nii.gz,0.854
VesselDetection_0102.nii.gz,0.507
VesselDetection_0073.nii.gz,0.791
VesselDetection_0010.nii.gz,0.816
VesselDetection_0080.nii.gz,0.466
VesselDetection_0092.nii.gz,0.742
VesselDetection_0077.nii.gz,0.409
VesselDetection_0014.nii.gz,0.526
VesselDetection_0069.nii.gz,0.791
VesselDetection_0018.nii.gz,0.879
VesselDetection_0065.nii.gz,0.67
VesselDetection_0006.nii.gz,1
VesselDetection_0053.nii.gz,1
VesselDetection_0030.nii.gz,0.607
VesselDetection_0041.nii.gz,0.612
VesselDetection_0022.nii.gz,1
VesselDetection_0088.nii.gz,0.816
VesselDetection_0096.nii.gz,0.913
VesselDetection_0084.nii.gz,0.791
VesselDetection_0086.nii.gz,0.904
VesselDetection_0098.nii.gz,0.86
VesselDetection_0094.nii.gz,0.867
VesselDetection_0004.nii.gz,0.791
VesselDetection_0104.nii.gz,0.577
VesselDetection_0079.nii.gz,0.459
VesselDetection_0067.nii.gz,1
VesselDetection_0016.nii.gz,0.742
VesselDetection_0008.nii.gz,0.777
VesselDetection_0075.nii.gz,0.706
VesselDetection_0020.nii.gz,0.852
VesselDetection_0043.nii.gz,0.612
VesselDetection_0032.nii.gz,1
VesselDetection_0051.nii.gz,1